time,angle1,angle2,intgangle,accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
736.019,20.9069,-6.02313,0,6.80904,8.18618,-2.49322,9.14634,8.65854,-39.1159,-38.5263,0.627495,-6.94077,-98.2012,27.1951,-5
736.029,20.9634,-6.22727,0,7.3575,7.77423,-2.25132,11.6463,22.1646,-40.1829,-37.4629,0.570015,-7.29523,-102.348,32.0732,-1.46341
736.039,21.0591,-6.46538,0,7.47246,7.31678,-2.20102,14.4512,32.2256,-40.5183,-36.8881,0.474214,-7.87961,-106.921,36.8598,1.98171
736.049,21.1564,-6.7647,0,7.18506,6.93837,-2.30401,16.7073,40.4878,-40.9756,-36.342,1.03944,-8.92384,-113.628,46.0366,4.42073
736.059,21.1495,-7.044,0,6.28693,7.01741,-2.20342,18.4756,48.3537,-42.9573,-36.2845,1.80584,-8.7514,-119.817,52.0732,6.76829
736.069,20.9015,-7.2771,0,4.77327,7.76465,-2.49082,19.3598,55.6402,-46.5854,-37.1851,2.56267,-8.34904,-127.043,55.7012,7.46951
736.079,20.3508,-7.39284,0,3.23567,9.22562,-2.39741,14.9695,60.9146,-52.9878,-39.5705,2.29443,-6.92161,-134.695,56.189,5.94512
736.089,19.5406,-7.47594,0,1.91123,11.1943,-2.03577,7.89634,65.9146,-60.9146,-42.2146,1.64298,-6.85455,-141.22,54.2378,1.09756
736.099,18.5212,-7.5454,0,0.58678,12.1404,-1.9256,0.731707,62.6829,-69.7866,-44.8396,0.819097,-7.05573,-142.104,58.1098,-3.23171
736.109,17.4116,-7.53396,0,-0.0670605,11.7811,-0.404758,-4.2378,42.8963,-74.7561,-46.8131,-0.330513,-5.71452,-137.744,59.939,-8.10976
736.119,16.482,-7.4083,0,1.3963,12.8517,0.673001,-11.7073,10.3963,-71.9817,-48.1159,-1.95913,-3.44404,-127.439,53.9024,-7.7439
736.129,15.8994,-7.22517,0,4.35894,14.145,0.656235,-21.7683,-20.6707,-60.7622,-49.8883,-4.04758,-2.21779,-113.963,48.1707,-5.36585
736.139,15.6537,-6.98345,0,7.15632,14.2983,0.155676,-21.0366,-39.2683,-46.8902,-50.99,-6.90245,-0.799937,-101.22,44.878,-3.20122
736.149,15.5945,-6.73575,0,7.99937,12.8421,-0.517324,-8.14024,-39.0549,-39.2378,-51.6702,-9.58487,-0.445474,-86.3415,47.4085,-4.48171
736.159,15.5099,-6.48229,0,6.69168,11.92,-2.09804,5.30488,-25.122,-36.6159,-51.6414,-11.2422,-0.0814307,-76.0671,49.4512,-7.37805
736.169,15.3085,-6.27654,0,4.52659,10.6435,-3.48715,11.6159,-5.60976,-35.9146,-50.9708,-9.49865,-0.953218,-74.0244,43.4756,-4.54268
736.179,14.9065,-6.08059,0,2.24413,9.4723,-3.53505,16.7378,16.7988,-36.9817,-45.4527,-10.8399,-0.819097,-44.2073,59.7866,3.53659
